,air-force,akron,alabama,appalachian-state,arizona,arizona-state,arkansas,arkansas-state,army,auburn,ball-state,baylor,boise-state,boston-college,bowling-green-state,buffalo,brigham-young,california,central-michigan,charlotte,cincinnati,clemson,coastal-carolina,colorado,colorado-state,connecticut,duke,east-carolina,eastern-michigan,florida,florida-a&m,florida-atlantic,florida-international,florida-state,fresno-state,georgia,georgia-southern,georgia-state,georgia-tech,hawaii,houston,idaho,illinois,indiana,iowa,iowa-state,kansas,kansas-state,kent-state,kentucky,liberty,louisiana-lafayette,louisiana-tech,louisiana-monroe,louisville,louisiana-state,marshall,maryland,massachusetts,memphis,miami-fl,miami-oh,michigan,michigan-state,middle-tennessee-state,minnesota,mississippi-state,missouri,navy,nebraska,nevada,nevada-las-vegas,new-mexico,new-mexico-state,north-carolina,north-carolina-state,north-texas,northern-illinois,northwestern,notre-dame,ohio,ohio-state,oklahoma,oklahoma-state,old-dominion,mississippi,oregon,oregon-state,penn-state,pittsburgh,purdue,rice,rutgers,san-diego-state,san-jose-state,southern-methodist,south-alabama,south-carolina,south-florida,southern-mississippi,stanford,syracuse,temple,tennessee,texas,texas-am,texas-christian,texas-state,texas-tech,toledo,troy,tulane,tulsa,alabama-birmingham,central-florida,ucla,southern-california,utah,utah-state,texas-el-paso,texas-san-antonio,vanderbilt,virginia,virginia-tech,wake-forest,washington,washington-state,west-virginia,western-kentucky,western-michigan,wisconsin,wyoming,Year
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002
1,27,11,26,,34,23,22,16,32,26,14,31,18,27,10,17,28,39,16,,14,29,,32,12,14,18,21,11,31,,22,26,36,14,27,,,28,21,27,19,26,28,34,23,31,25,14,20,,17,10,18,12,24,15,21,,19,32,17,31,28,16,27,30,25,26,28,18,21,11,21,31,33,13,12,24,29,13,23,24,26,,24,29,24,32,24,19,31,29,25,16,29,,30,8,20,26,20,18,28,33,33,32,,28,12,15,13,12,20,20,20,28,11,22,20,,32,16,18,28,32,25,35,,10,26,12,2003
2,34,15,28,,26,26,37,13,26,25,10,29,16,33,13,16,33,28,19,,15,27,55,33,15,11,30,12,13,24,,9,15,29,15,29,,,23,18,25,18,35,24,27,28,28,24,13,35,,14,19,12,17,29,18,23,,7,29,12,25,23,14,18,38,28,23,29,14,13,14,20,36,30,14,9,23,26,14,28,24,26,,29,27,21,33,34,23,25,21,16,15,34,,26,18,15,34,23,16,29,23,29,27,,22,14,18,16,12,11,13,31,26,23,18,12,,11,27,29,28,36,38,32,,19,22,20,2004
3,50,27,42,,43,37,39,37,49,48,47,48,39,38,34,36,50,41,30,,39,33,41,41,31,41,51,35,25,35,,38,24,66,36,36,,,34,51,40,37,42,40,53,32,41,49,41,34,,51,40,42,38,42,32,42,11,45,46,36,52,48,37,35,38,45,56,49,33,40,32,37,33,32,44,39,47,50,33,49,41,49,,39,39,39,45,37,36,44,43,31,41,38,,55,44,36,40,46,41,38,46,46,47,,47,33,39,39,39,38,40,43,49,44,34,33,,36,50,42,35,40,39,42,,41,39,33,2005
4,38,21,44,,30,39,39,29,59,25,10,35,16,35,35,28,39,38,25,,16,42,42,35,15,24,25,22,18,38,,25,28,50,27,38,,,30,26,32,25,36,36,26,29,38,48,18,46,,31,30,27,21,42,22,25,18,24,35,23,33,34,20,35,30,30,27,33,24,34,21,29,31,32,17,23,25,29,22,34,35,48,,34,37,40,37,37,41,31,36,24,30,32,,50,24,26,44,32,35,37,32,42,35,,38,23,32,24,21,22,22,32,36,25,28,21,,37,28,41,24,22,26,43,,21,24,25,2006
5,37,23,39,,28,42,35,18,42,43,26,48,34,27,27,25,36,32,18,,23,31,48,34,22,19,30,34,20,46,,28,33,33,31,43,,,33,24,41,30,26,32,42,34,37,32,26,25,,26,20,26,16,29,29,39,37,23,31,31,38,35,26,37,35,27,40,48,20,26,15,25,39,36,27,25,30,40,29,38,33,28,,27,37,32,31,32,30,35,36,25,25,38,,40,26,26,30,40,23,33,28,30,32,,36,22,27,17,26,34,28,32,30,26,27,34,,31,26,33,32,39,32,32,,19,41,14,2007
6,47,21,30,,42,35,42,32,44,38,22,29,24,33,12,22,41,47,26,,27,30,49,39,29,23,25,27,29,40,,22,23,51,23,38,,,44,25,35,27,36,37,35,38,40,47,21,30,,22,24,27,33,34,24,34,34,22,47,14,36,28,20,38,41,36,42,38,27,22,20,28,34,42,33,20,32,34,16,27,31,39,,36,34,44,37,37,38,40,29,24,25,48,,38,26,29,39,34,16,24,39,43,34,,33,31,24,22,22,30,20,45,40,21,21,28,,30,32,33,29,48,48,35,21,22,39,22,2008
7,56,28,28,41,30,34,40,22,47,42,19,39,26,33,20,20,41,33,18,,29,36,46,40,26,20,40,25,22,31,,19,32,35,21,44,,69,36,28,44,18,35,26,21,32,23,47,23,43,,21,18,20,26,29,22,45,34,28,29,28,44,37,25,33,40,37,44,46,18,20,24,25,33,37,22,27,34,30,23,42,37,41,,33,35,36,36,28,28,38,37,19,24,37,60,42,26,15,33,35,18,41,31,38,36,,36,23,26,28,16,27,16,40,33,25,22,28,,38,42,32,41,37,43,34,27,27,35,20,2009
8,32,23,49,19,35,36,39,29,33,41,24,35,13,30,28,29,37,29,27,,18,32,27,35,23,17,22,26,25,37,,27,23,42,20,39,,53,26,23,35,23,34,43,37,32,34,35,18,40,,26,32,28,34,44,26,37,32,27,42,25,39,38,25,34,33,38,29,32,18,27,23,28,33,41,28,22,34,36,26,29,34,52,,39,36,33,48,38,40,33,31,31,29,32,47,32,27,26,39,38,28,35,42,37,21,33,39,21,27,25,26,20,20,33,34,31,24,25,,37,41,41,31,37,46,35,26,25,41,25,2010
9,31,26,32,43,33,38,30,21,41,29,18,26,26,35,28,20,21,32,27,0,27,34,30,40,22,25,35,23,19,32,,29,29,31,29,37,,31,34,35,30,20,32,35,34,36,44,37,27,31,,29,21,18,26,30,20,33,,24,34,17,33,34,24,38,41,32,29,34,20,26,26,20,38,33,23,28,30,34,31,29,29,30,31,39,36,39,41,37,36,16,34,17,21,28,40,35,26,20,28,30,19,32,46,39,36,0,31,20,31,24,22,24,30,29,38,26,29,26,,27,34,37,26,30,35,39,21,22,33,26,2011
10,31,36,26,40,32,26,29,19,24,15,27,18,19,21,22,19,26,23,22,72,23,27,46,30,29,22,22,24,26,16,,28,31,20,24,24,51,45,25,27,23,26,20,36,17,17,19,21,18,24,,29,27,24,31,20,30,26,,29,28,24,22,17,30,39,21,18,37,28,29,22,24,26,25,24,26,24,24,20,22,20,22,27,24,26,27,27,20,24,24,19,15,22,28,25,11,25,26,22,22,22,21,19,24,24,27,59,31,17,26,20,23,23,21,26,30,26,32,24,,22,21,22,24,23,19,22,25,27,22,19,2012
11,39,25,24,41,25,23,26,19,35,35,25,35,31,15,18,21,36,33,26,23,39,26,47,18,25,21,20,33,26,29,,27,27,29,28,30,51,16,32,29,27,32,32,24,21,32,28,27,23,28,,29,31,16,26,22,23,27,22,23,32,31,24,22,24,27,30,20,39,33,26,26,26,30,29,30,28,25,17,25,27,22,35,25,8,24,21,22,31,26,28,22,31,26,31,30,27,26,26,39,23,28,31,33,18,32,18,29,32,30,37,27,28,24,35,34,26,26,27,31,21,21,27,29,27,24,17,35,34,28,25,26,2013
12,16,20,24,14,30,28,28,31,17,19,20,26,16,25,31,15,31,39,16,32,22,19,46,19,28,24,23,22,20,21,,25,25,23,24,28,16,31,12,23,24,19,15,28,23,26,25,23,26,25,,24,28,16,27,26,22,29,26,22,23,20,17,26,28,24,18,20,25,26,15,27,27,38,16,31,24,22,27,19,27,31,21,32,26,25,27,22,20,19,18,36,17,29,17,31,26,17,25,23,36,19,34,32,22,27,23,31,25,24,35,20,22,30,14,17,25,42,25,17,24,31,15,25,22,25,29,18,23,26,27,18,2014
13,54,74,82,60,86,73,73,75,116,91,77,70,73,64,63,68,94,83,71,28,67,82,44,77,76,65,68,87,78,88,,73,56,77,53,84,84,68,86,67,75,81,77,88,79,90,84,88,59,65,,69,72,63,85,78,64,64,77,75,86,77,83,65,72,81,79,84,140,94,91,54,69,63,79,75,75,82,62,79,75,76,86,82,76,74,76,84,93,76,67,62,85,74,61,59,74,69,76,75,46,64,78,77,79,79,85,72,76,64,76,61,71,,67,83,77,67,75,76,81,52,74,78,72,76,93,79,65,72,71,70,2015
14,12,10,16,6,12,11,12,13,17,15,8,11,12,7,12,10,21,10,8,9,5,13,43,12,12,2,6,13,14,18,,9,14,14,19,17,12,13,4,16,18,14,13,10,12,17,13,7,13,15,,14,13,14,7,11,15,17,16,11,14,9,17,11,11,10,6,16,5,7,7,20,7,14,14,7,18,7,3,11,8,11,15,14,4,12,10,13,5,5,15,5,10,8,11,17,21,15,10,8,6,15,13,13,14,9,13,22,15,11,19,16,9,,14,16,8,17,9,18,14,6,12,10,5,4,8,13,11,7,8,14,2016
15,74,61,82,84,84,90,76,76,128,79,76,71,71,65,66,73,68,70,69,65,72,64,38,77,68,70,72,65,67,,,78,73,81,75,90,76,76,78,64,68,67,70,64,78,92,76,87,51,71,,75,62,70,75,90,74,56,58,85,75,77,97,80,82,79,71,81,131,89,78,55,73,61,79,80,88,65,72,72,75,73,79,77,67,73,61,67,76,74,75,55,77,74,69,89,84,93,72,85,64,67,101,71,74,85,79,85,79,74,90,56,65,,89,79,71,94,70,83,82,57,73,87,67,66,81,92,65,74,77,78,2017
16,43,39,44,40,35,44,39,46,77,41,35,32,38,28,42,34,52,37,37,52,50,35,46,47,47,41,25,38,43,,,40,41,34,31,49,42,38,41,54,43,23,37,46,47,42,42,45,38,45,,58,32,32,37,44,38,45,38,42,39,24,46,33,38,42,33,41,54,53,41,38,36,32,38,43,50,37,27,42,42,57,45,57,34,32,50,39,43,46,40,33,30,38,35,41,48,38,45,38,27,33,53,46,48,43,43,50,23,50,38,44,30,47,45,42,34,44,44,48,40,40,51,46,34,34,45,46,43,39,31,29,2018
